trial_number,value,batch_size,dropout,history_length,learning_rate,num_layers,units,weight_decay
30,0.17795546366693732,218.743577573746,0.28300205348538726,104.3940204217798,0.0005020223492860393,6.587012247889199,343.2768846029264,0.0007283981045063294
31,0.20381073868292535,218.32536589102094,0.28393436888991186,103.7347586305416,0.0005059514647864692,6.609964222900231,332.9100803928885,0.0006913438628480201
32,0.3490972687852775,189.1610404666144,0.3072633382178756,129.4248754256915,0.0004187564632724475,7.910297178022755,349.0738436786966,0.0004857425837853493
33,0.3544035473983445,224.13063451832815,0.27524800425371976,73.767572611149,0.0002870374079125991,10.040393663925338,352.2962312733055,0.001462997624435016
34,0.23482397748770828,123.34806397401763,0.3025814696682435,96.56800897041983,0.0005591202139078698,5.089535388867239,366.9265286023803,0.0008744402361960357
35,0.219520757039507,207.11292924202996,0.4179904792733046,109.37370345597898,0.00037523161798242566,3.1697421409182605,327.61784452212476,0.000328407280545113
36,0.3472212411597103,100.20216805733769,0.3244156909358772,152.9129236668143,0.0009752176449470287,6.319613937710544,290.7799258355916,0.0012157219725451604
37,0.21161422408938765,238.95752175607703,0.35249979449137664,125.39813372697374,0.0004856918726779946,4.426664750039287,245.49401172716705,0.0008312354061727952
38,0.3490305688901397,109.78114076531267,0.25115774785641176,145.12006358127618,0.0007537334220968973,10.74302015297483,199.4603270855043,0.001785272098478498
39,0.34722666546791614,243.45602601536947,0.4848293146206568,169.26387282420941,0.001610958325405997,8.049170791183306,319.05365458788685,0.0002418527859107691
40,0.34630971227041973,76.97273679884412,0.22530684787740918,198.23236365810757,0.0003140448866343128,12.249421507151588,367.00995524280455,0.00014357204275310654
41,0.20481833306749067,197.73593846298425,0.24546927121683815,114.5075860965786,0.0008546542572313987,2.9454761700850796,303.21243818450614,0.0076301054462234435
42,0.19013767763079997,190.4490321961507,0.27588258063849824,99.22782089217468,0.0009229527941900322,2.678774642758018,293.6651184629722,0.0030124743451456016
43,0.20838401975210555,166.51159249434156,0.27384330224937364,97.32471137330428,0.0006113727127729029,4.083769393001201,283.54397845960557,0.0026550496996195845
44,0.22944879355634043,188.65800257529054,0.2905185390193274,73.93849056707401,0.0009615840114646117,3.145701938496511,267.1111764790534,0.003768965324148644
45,0.1738961441832745,180.10082724200592,0.3662674994149854,90.61096551683912,0.0012277047117747442,2.4906979644324005,292.76291759905206,0.0006031145385387901
46,0.24058591180932737,151.37428178948792,0.36972183303852324,88.94133450210872,0.0007592355158040812,5.460017079925619,343.18170415330445,0.0005202288402142455
47,0.21818809620812982,211.95029138426045,0.42168340282579986,246.61020813936796,0.0012000002661447374,2.6642811525388606,161.45318824700178,0.0006848922843881011
48,0.35155786905816927,181.0462340892737,0.35663347373804083,102.56072950672447,0.0011651688783905429,7.250028409398531,294.82214231932215,0.0024757625541099184
49,0.19169982619538992,227.1990455812149,0.3342703572450614,119.50901272652979,0.0006710921482475266,5.034283355902618,321.66588277167733,0.0008374806180073171
50,0.21959613175716944,163.28059797876162,0.45645938275335035,82.83594325323546,0.0013669878332257497,4.320228662445531,249.1601581165611,0.001995806428492248
51,0.2119075198931073,226.91711148109627,0.38458151344717806,117.81416344376842,0.0006883328129418508,5.215023964853714,317.1887568941649,0.00085429107573204
52,0.18888512843561744,246.99455145469057,0.3168979038055648,103.88076863514992,0.0005562680532888724,3.538232711590042,340.3117416861667,0.0012462989273417028
53,0.17514924542632646,252.4939729212016,0.31698423357701366,93.09496856322681,0.0005569660390395744,3.491281944290137,345.2974982645818,0.0012472064026044008
54,0.19998709603162582,250.24519201707517,0.3219305701358506,108.9373445869125,0.0005540463226458269,2.5752635656089446,358.167359726083,0.001525822486623884
55,0.1944310043475585,246.40400335691461,0.309295634465668,99.77917508365658,0.00044049417584923344,6.136770444970291,341.5020874825821,0.0005786057884013272
56,0.185852593031829,254.88686340598574,0.2984220220993083,64.48419926778422,0.0004956484263691984,3.326299223505476,339.3697037892197,0.003987797219855043
57,0.19655654414328272,255.44103331195686,0.3659456933071931,65.19297263600866,0.0004924261464511946,3.40070914854691,381.9351452877056,0.0012075577740615015
58,0.2145853475316199,239.29926240277172,0.2950373380145757,72.37619867023122,0.0004072822154357778,4.309064432807189,359.6094360809572,0.008292221534113674
59,0.20420300707801017,233.7747766142377,0.30288999910821296,81.92063966501743,0.00037159189115324685,4.604264405052142,337.7362101665168,0.004680681694419946
60,0.2243421864009903,252.7203337947259,0.31554011003262494,91.35259742557109,0.0005942850018239912,3.4637798015607144,328.1208515903,0.00034859016389033503
61,0.19191658342045223,246.41398325908767,0.26241863559886436,109.61819791015138,0.0005137894607697811,2.432647377661216,313.0356485991762,0.0031995127819842437
62,0.2132987322296925,234.44968200067095,0.2733697799860594,78.08275410232736,0.0004698303083578798,2.0135658405273436,307.1056347233139,0.006222779823855715
63,0.19677103683798614,212.8898212368258,0.289261976243455,95.31106081926319,0.0005682746941646883,2.854585598552847,233.31261912785112,0.003175001011006989
64,0.2209070219920424,203.4839426721995,0.3443610314404477,69.76592548431654,0.0005277596314915089,3.862741906902099,343.1677587250187,0.004324811988190595
65,0.18154848661429868,217.52512005011346,0.3008269787780838,104.03822228798715,0.0006410748275106521,3.0721011216466314,374.0615492084652,0.0007362481885254995
66,0.1869773081676689,224.37271186892528,0.3148241284706016,103.64649089784913,0.0004555330364892555,3.2071319684690427,374.3945768751567,0.0007550959268294689
67,0.1803082871535224,217.71817385733584,0.3326610014563321,123.63353243546034,0.00022691258773580833,4.027067100384797,372.541196832785,0.0007333447457357324
68,0.17025723765174786,218.93186907977037,0.3333383365729501,127.1920094984374,0.00028592508041109876,4.901071483170554,366.2010358371701,0.0006246273653006728
69,0.1966314436031316,217.0667908697891,0.3314760318937248,142.26266724449113,0.00021973826209538216,5.943317439045755,364.8504864630633,0.00048724052059849466
