trial_number,value,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_lambda,subsample
128,0.020851139929544026,0.7946085765535562,0.015575699454609926,0.026016363441015454,24,5,0.9986357093376462,0.9624882067416105
129,0.019453322201619033,0.7850373629686216,0.02119730491125901,0.027349511568736915,27,4,1.0992820214026147,0.9433370179443347
130,0.024337849298660678,0.7986647816533505,0.017235620638213368,0.02418377239071806,29,4,1.3128335952146646,0.9601709736332288
131,0.018368887251400803,0.7798956490231276,0.014077529870956576,0.029473469106150035,23,4,2.4573254057325027,0.9879947359224661
132,0.01787159896682933,0.8034186605846173,0.023591386474166125,0.029801960813182076,24,5,1.9556058591260785,0.9969574546784677
133,0.018645936051246922,0.8044971722921375,0.05304922272573802,0.029936278674967266,24,5,1.9418868859802063,0.9993485110632805
134,0.018632312743550716,0.8179400914173144,0.02737695486716607,0.02800434181707664,26,5,1.1075944809439542,0.972285517686077
135,0.021932739040803065,0.8304536788563515,0.021824731196254867,0.02613180302512385,28,5,2.21633669494261,0.9349805705590714
136,0.020789894316945286,0.6104481583331751,0.0179843485655238,0.028202538193056886,25,4,1.859233189385046,0.9887430562330314
137,0.02010927407048995,0.7580758416217669,0.040383673001652465,0.026955469301714167,26,4,0.9470655481538041,0.9532501344606137
138,0.023381040477995597,0.7703484178446935,0.023951698300669042,0.025318722439925764,24,5,1.952377530132384,0.9764239617179256
139,0.018665186877691847,0.8412433777091822,0.030839905820464295,0.02851757683936986,27,4,1.2943827336518532,0.9663257556134958
140,0.02486942125011315,0.8718467931507664,0.009027191674086674,0.023839708446446818,28,4,1.8079082684841044,0.9969868290777261
141,0.018031415884558248,0.785554022362403,0.011148487026443074,0.029964716973885565,23,4,2.117038931317767,0.6869058406682548
142,0.01769101236130038,0.7850851702609437,0.010370715952537576,0.028630835639435113,23,4,0.8397654929342787,0.6878288898146462
143,0.019613197797979397,0.7838601933609257,0.010851992530027882,0.026954928632757825,27,4,0.9044147477687412,0.6846871337383884
144,0.016326466658867465,0.8005667757228639,0.01880480667620173,0.029960214372985943,23,4,0.5791228609461151,0.6662886176004136
145,0.017866506743634,0.8014705909021661,0.019076664395627812,0.02821097105388614,20,5,0.6989919582792338,0.6670752325133412
146,0.01821995093225805,0.8056566619858566,0.01984529408471453,0.027920505471562173,22,4,0.6682578763733665,0.6537994501622104
147,0.021056315851491397,0.8150368381260764,0.02769867867891258,0.025420502261269365,20,5,0.5411598655204026,0.6604298344723134
148,0.01957586362954567,0.7976551396455046,0.015241481146909009,0.02691560504268426,21,4,0.7559686391338435,0.6673448095607534
149,0.6593409914041111,0.7749106511944847,0.024919332906073993,0.0024142647982257656,20,4,0.5058710418704455,0.9839620475821552
150,0.019313151558799188,0.8195218050936066,0.07929276157833239,0.02840064961064749,23,5,0.5904093631972659,0.6410222533138242
151,0.016286143487946273,0.8277933248955713,0.016547543295287282,0.029903517376857244,25,5,0.6472471031691941,0.6677220603450303
152,0.08894113042879498,0.8093521288549562,0.020806697996715758,0.01352951110769484,25,5,0.655189858339234,0.6718747762206815
153,0.017781670766436546,0.7988603810128506,0.016169905822113112,0.02855832365163789,24,4,0.5831479918679332,0.6480440181871632
154,0.01804405959536531,0.7971735440356011,0.01599755855097012,0.02814392991067542,24,5,0.5854108876443832,0.6627031931969832
155,0.019683965346858723,0.8245641711458188,0.012763684417724977,0.0263333127278513,23,4,0.7160061744832762,0.6931548377551852
156,0.021942850653959393,0.7803386300414219,0.008974802891000513,0.024804988553616292,25,4,0.5412501402631468,0.6510400666955496
157,0.01827884691294418,0.768685223358195,0.018775943612604696,0.02802898027488974,24,5,0.620464711547103,0.6370534041950578
158,0.02042042187673775,0.7978677474576097,0.015118106711403375,0.02634537440036774,22,6,0.8052940460064072,0.6635193947440476
159,0.018181718786296694,0.814322263101081,0.03147264247770708,0.028546380316651174,25,4,0.6760569443944071,0.6206688209135518
160,0.0164890910788527,0.82656087098822,0.010228016064641717,0.029865774978265217,26,1,0.5755340174612847,0.6776137944597918
161,0.016469000991206025,0.8287790567651224,0.012211893261591758,0.029697951284899198,26,1,0.5760820080890131,0.679695710949894
162,0.017410147214248016,0.8335552181906375,0.010855440423134133,0.02837820281526004,26,1,0.573703265475012,0.7009211303822516
163,0.01858319728976692,0.8484258079541493,0.007297422691502927,0.027193869898675088,26,1,0.5830804052236432,0.6796845591320361
164,0.02063278567777349,0.8317277753098935,0.01037298258028332,0.025480981746038706,26,1,0.5596673144207854,0.6759359586030916
165,0.017785414515605134,0.825480032144119,0.012555993952826472,0.028286347345048615,25,1,0.641091000295909,0.7055940294299369
166,0.018667791949541736,0.8436592050947687,0.009436810640472672,0.0271571739287151,25,1,0.6243933802291086,0.7041197564036393
167,0.02656030081792607,0.8283789536655769,0.012202292401773274,0.022541091728913876,26,1,0.6095154991960388,0.707832099094256
168,0.02294885364930136,0.8365432625965672,0.008072287472872275,0.024111927831701702,25,1,0.5430416256821843,0.6943964171060999
169,0.02011770186975643,0.8547703927819515,0.01203635555212445,0.02601634874296064,26,1,0.6278143472271961,0.6993444073088712
170,0.017294627907641302,0.8233254579558605,0.01413914910586467,0.028298190196329273,25,1,0.5299646264017932,0.716754227463356
171,0.016200256919848152,0.8236566247293914,0.013975213824941267,0.029940334067497076,25,1,0.5639701623903549,0.7210699124321416
172,0.017334904187604774,0.8210117395972488,0.014105880631315853,0.028526590285398015,25,1,0.5572985352482454,0.7132151198211316
173,0.01747024714555356,0.8243710636397474,0.014003765737930647,0.028279685281746285,25,1,0.5205711749213757,0.709189186971548
174,0.017097743317817687,0.8248602043198736,0.010260095200138375,0.028336008703760997,25,1,0.5208195835847045,0.71790315255396
175,0.018337881373020906,0.8394189551941876,0.011454137479227277,0.027108777850361476,25,1,0.5217148535501901,0.7185298470204363
176,0.017546888040844737,0.8314183556874285,0.01020763009568432,0.0281773296471567,26,1,0.5662277509612335,0.7154494073608983
177,0.0207805108584932,0.8321183150497655,0.006139172231373664,0.025314926295153927,26,1,0.5680377098431828,0.7126736725258894
178,0.018301379754096826,0.8495091829680322,0.01013363508780307,0.027130784837390863,26,1,0.506969621190384,0.7172791731512436
179,0.01731657950534963,0.8595755621170325,0.008396350382038146,0.028213103837485105,25,1,0.5331819471751867,0.727328229999816
180,0.02263036114168514,0.8617507536009699,0.00692760695976173,0.02408932798210939,25,1,0.5230361935847181,0.7257219586417069
181,0.01733826367146146,0.8183943147672456,0.009252185313687458,0.028150043396292915,25,1,0.553854728544373,0.7225221856153179
182,0.017523447123009475,0.8424777141669885,0.008571621352092133,0.02805559894941454,25,1,0.562648224999916,0.7327452552055617
183,0.019078273658906447,0.8426090310941193,0.005336347480336925,0.026427524762349636,25,1,0.5602655445062812,0.7320999611442289
184,0.017335925120098614,0.8676740056941529,0.008108762510497036,0.028119834892690983,26,1,0.5351127395297347,0.7231981624299267
185,0.020285855618559747,0.8841352943180761,0.00819645584869298,0.02555385296963803,26,1,0.5444391246095273,0.7210371422594078
186,0.018101627620231688,0.865894044295754,0.008527977526533673,0.027736104070637105,26,1,0.6017515822731471,0.7098899883233125
187,0.017276120599409646,0.8726555774304293,0.0074109552559114686,0.028171189314414265,25,1,0.5196813584386016,0.7262906693499718
188,0.3823844594636339,0.8782284939636849,0.00667858714862724,0.005286016191520865,25,1,0.5294038298082634,0.7271016095410996
189,0.024440553079763363,0.8735533296262522,0.009241422598809178,0.023171560093086206,24,1,0.5625885756396695,0.7377944093212321
