trial_number,value,colsample_bytree,learning_rate,max_depth,min_child_samples,reg_alpha,reg_lambda,subsample
107,0.16130921585316946,0.74311503897348,0.012535840576390463,4,18,0.014860292329937548,2.905196205639364,0.7212720347114744
108,0.15966698832803095,0.7875792254259092,0.00979191102072662,6,35,0.009848986165210707,2.4497926916537027,0.7381099384256753
109,0.15734442434384976,0.7185247242379255,0.007907167862381844,4,64,0.007475040919770799,2.1893212814350105,0.7750293707335968
110,0.15706079779094423,0.7981501691226786,0.008981928040156012,5,61,0.005238892820498538,3.3543257031922096,0.787404243755682
111,0.14821168609199611,0.8180133326256324,0.006502142619943104,4,68,0.022060886367150815,2.8728377665665703,0.7482125777067457
112,0.1482489801650889,0.8113530731433866,0.007209876980304884,4,66,0.0033796988191704515,2.6356149094745382,0.7603340723671099
113,0.1527585329729855,0.8101717666435514,0.006669756241743287,5,68,0.002488940076533947,2.6020152187132912,0.7700240220249731
114,0.14826450563747226,0.8206242072354472,0.007392702264539021,4,65,0.0044202639501189,2.8738500760746555,0.7609848200612225
115,0.15945575833873538,0.8341755923562891,0.005847336665903098,6,63,0.0033050830118299132,2.463304711982941,0.7448443446773652
116,0.14703718028434337,0.8140528997343366,0.006241672966624927,4,69,0.0016133058539103229,2.2521331211884026,0.7792217010918017
117,0.15404580853602814,0.8081472125031902,0.006465927069344503,5,71,0.0015544615620751996,2.235078255142357,0.6168862457424825
118,0.1605205866626589,0.8202653060633632,0.006836968027766856,6,66,0.001239498024061271,1.9481867078802408,0.7791725417611898
119,0.15319040148268012,0.803550367601987,0.0053360095837335945,24,69,0.019765655517589048,2.7589723187113537,0.7606160285663307
120,0.1482432166234051,0.7936576737027123,0.005275254775684854,4,74,0.0018192429362364078,2.987562951998339,0.7660974618606442
121,0.14968153347463475,0.7947618986449831,0.006197890974056997,4,73,0.0010613922918064212,2.947357761563916,0.7897374561407522
122,0.15328345140251434,0.7752439365599323,0.005302598862427345,5,75,0.001759026096979085,2.7538283099102907,0.7661538126891368
123,0.148204823707707,0.8118366108323506,0.007198159391593911,4,68,0.0020036462801425944,2.2983468749177023,0.7553319558821654
124,0.1530173549407194,0.8129146254445202,0.007253487372413084,5,67,0.0015221730331250244,2.327239613114674,0.7772270102597799
125,0.14796625792386756,0.8331656531126923,0.007895924185101384,4,65,0.022824073602463746,1.5314844722880656,0.7469018070912089
126,0.14796465598425726,0.8346284020382496,0.00806617229853996,4,69,0.002641105510778848,1.5808529087459653,0.7433661564704999
127,0.15297732416948395,0.834214898368649,0.007891242495721373,6,69,0.02358207190824326,1.3801654074888017,0.7472671074039144
128,0.15321810750824802,0.8437113358834282,0.007341875177085225,5,63,0.002628238373367483,1.575091772584779,0.7240618550767564
129,0.15962338976847062,0.8262665359001302,0.008161098695524862,13,72,0.03453540957628531,1.659981471583834,0.7398740246095153
130,0.15533331356211158,0.82026301589068,0.005771357159051367,7,68,0.002091421853322611,1.4733624678601371,0.8002028987671871
131,0.14793878837715493,0.8146297986082681,0.007006272769628367,4,66,0.03051655597938038,1.7484472694327196,0.7525473727258397
132,0.14796769568237333,0.8337803701747849,0.007010557917244023,4,65,0.030041358871062872,1.7080539143028926,0.7478217284249725
133,0.1493054038759854,0.8531807377679247,0.0063565035012522995,4,70,0.03965552107682461,1.8034041290822531,0.752558057073616
134,0.16105712171000613,0.8366273081068818,0.006044654586373383,5,62,0.022224281544189626,1.5018535545099834,0.7323507830086445
135,0.1525898698825738,0.8289738396822123,0.007618204743772099,4,74,0.016329953981118212,1.353235459180531,0.7434319037909493
136,0.15467774875942492,0.8612885532243998,0.006892201388196229,5,65,0.032670244963421836,1.6546995297883547,0.7705292176491584
137,0.15303175434290073,0.8169822468687702,0.005530795494753624,5,67,0.029346656057259904,1.9946254059524544,0.7481788425568289
138,0.1540370428546456,0.8504242506172847,0.005180340170426673,4,71,0.001388042200530217,1.7748299394521827,0.7353061958668072
139,0.16086548133080072,0.6488830286148652,0.006430115181237226,6,64,0.05311579122774316,1.576607427560721,0.7817552774232899
140,0.15305041538570371,0.8438507694171463,0.007911313598802837,4,58,0.027227026844213773,2.034722724832157,0.7062702605082849
141,0.14795031852384916,0.8090146548754886,0.007310031862151878,4,69,0.04383436150799746,1.2750883197780158,0.7544194766206244
142,0.1531347114454099,0.8251332774497468,0.006977827844046476,5,69,0.04279716049697489,1.220242590636653,0.7530955221199467
143,0.1483375777571922,0.806737193291804,0.007434049823094908,4,73,0.03232353797995289,1.134177857414082,0.7689188204730302
144,0.14831559357127375,0.815680883838549,0.00670334281296689,4,61,0.05141894609618013,1.7045966216098118,0.7406424843998617
145,0.15318806360068468,0.7902050131356524,0.008203337673930895,5,67,0.020260775157446155,1.297578679078816,0.7166465027996667
146,0.14826324900009327,0.8352643876323605,0.006173165363359158,4,69,0.03843138554290581,1.9312257007511604,0.7298528434674746
