trial_number,value,state,parameters.max_depth,parameters.learning_rate,parameters.subsample,parameters.colsample_bytree,parameters.gamma,parameters.reg_lambda,parameters.min_child_weight
59,0.3258046106584057,COMPLETE,29,0.009851477682499481,0.676244040193894,0.7470695122524601,0.027163376734625776,1.1733687915442979,1
60,0.3258046106584057,COMPLETE,9,0.008180615677153244,0.9347512063772119,0.8032500512930485,0.09959185075025562,0.889491113408513,8
61,0.3258046106584057,COMPLETE,5,0.028774097296994178,0.6917696205441946,0.7867322348419368,0.01055144400879309,1.6868378468966096,6
62,0.3258046106584057,COMPLETE,5,0.022432602944287193,0.6512810617420611,0.7176931407529393,0.02197683010876257,3.232133714412294,5
63,0.3258046106584057,COMPLETE,6,0.017840735691824094,0.7158932006138842,0.8322754989830544,0.05320440612510748,3.7076208844320306,6
64,0.3258046106584057,COMPLETE,7,0.019570120441466644,0.7927076290763451,0.8662450091727596,0.006428826686128698,2.4956789929569085,7
65,0.3258046106584057,COMPLETE,9,0.00602715656403574,0.767771089329374,0.8098659262134353,0.0034953668178010744,1.3094229848938088,5
66,0.3258046106584057,COMPLETE,4,0.024095851224614308,0.748191207411281,0.9005436251576917,0.00491678089089634,0.9739773850811246,6
67,0.3258046106584057,COMPLETE,18,0.003880378863520766,0.8103003014023391,0.7810044825112713,0.009356691878886245,4.775284308767392,9
68,0.3258046106584057,COMPLETE,10,0.004946011233220089,0.6597025891004393,0.7553634907193344,0.0020038218692056617,0.7611909234258072,4
69,0.3258046106584057,COMPLETE,21,0.01559632038006242,0.7044957476189492,0.6119379549288421,0.013761092237081532,0.6994722058507056,7
70,0.3258046106584057,COMPLETE,15,0.0044048104759712575,0.8442546890918611,0.7673420652728423,1.0013856731237263,0.5730217197946393,8
71,0.3258046106584057,COMPLETE,7,0.026964199996897115,0.8828263463618733,0.9514340513869832,1.414497819938344,1.6121241089500415,10
72,0.3258046106584057,COMPLETE,11,0.029255348644022877,0.9090451852142831,0.9146850014352631,0.8340550500092072,1.7779731825394034,10
