trial_number,value,state,parameters.max_depth,parameters.learning_rate,parameters.subsample,parameters.colsample_bytree,parameters.gamma,parameters.reg_lambda,parameters.min_child_weight
171,0.3258046106584057,COMPLETE,15,0.01913299406715758,0.8487763360574058,0.7400172426949937,0.00537886652293625,3.7065426068750207,2
172,0.3258046106584057,COMPLETE,13,0.021673884911238544,0.7059086967674307,0.7003450871908182,0.0032969740791417824,2.8134407720581316,1
173,0.3258046106584057,COMPLETE,16,0.01738972902271184,0.8346356845951814,0.7089118455808001,1.3788788515364485,3.2549359219491216,4
174,0.3258046106584057,COMPLETE,18,0.02353251737678366,0.862291041952535,0.7169164788341936,0.004355143422420135,0.8718023623738947,2
175,0.3258046106584057,COMPLETE,14,0.025912239536680075,0.8137534203432522,0.7681906538754834,0.12392144016575161,2.954829903477918,3
176,0.3258046106584057,COMPLETE,9,0.005882733854261913,0.7124343012564562,0.6908594984295241,0.0036960107526034097,2.606814414896744,9
177,0.3258046106584057,COMPLETE,4,0.02845158823627366,0.676066544804054,0.6780538667761624,0.16476330996226685,0.9872094413653566,4
178,0.3258046106584057,COMPLETE,15,0.002856633347008201,0.8242521186558631,0.6443211271578169,0.0735394712050177,1.3794936366534867,1
179,0.3258046106584057,COMPLETE,16,0.0044640616687257155,0.6140431433939052,0.8363673909952745,0.002495654062984629,2.752184252143403,5
180,0.3258046106584057,COMPLETE,6,0.013126866572682808,0.8776943899147752,0.7539595128816077,0.001196953150759453,1.4651926345208175,9
181,0.3258046106584057,COMPLETE,29,0.006612982653710717,0.867818118177371,0.6045025843757297,0.472714186849247,1.7240309795593614,4
182,0.3258046106584057,COMPLETE,26,0.0063483189410999665,0.8977481105024846,0.6118906767993524,0.42466073786992764,1.8106780217409844,8
183,0.3258046106584057,COMPLETE,17,0.003958616162938779,0.9849357461877598,0.6174772908575499,0.3706021244378809,1.6417078684146311,3
184,0.3258046106584057,COMPLETE,28,0.0047297369287324816,0.9271163515050713,0.9528429769255606,1.9922318418016125,1.9204543705539467,5
185,0.3258046106584057,COMPLETE,27,0.0054045666289739315,0.774663237415995,0.9210028885771592,0.24962983341184294,1.5568713640885368,3
186,0.3258046106584057,COMPLETE,23,0.010984322888008071,0.8407785994165473,0.8253210311373506,0.1939974781529417,1.7539247559231408,2
187,0.3258046106584057,COMPLETE,30,0.0073624824078547205,0.9568489132124743,0.6307757841560003,0.0017801352716084202,3.488526040287286,1
188,0.3258046106584057,COMPLETE,12,0.01612765092572131,0.9216108857158031,0.6215362437137136,0.2848639210871162,2.1623925651283895,6
189,0.3258046106584057,COMPLETE,26,0.02029050110106398,0.8545840987376974,0.7301645645292465,0.019145367426986058,1.898040747868307,10
190,0.3258046106584057,COMPLETE,14,0.007890111718630181,0.9379240244518728,0.7160220189811741,0.7751660032174393,1.6093852579006684,3
191,0.3258046106584057,COMPLETE,20,0.02997641338089717,0.7590567708644518,0.8942059701629528,0.06363429270951353,4.900974059169156,1
192,0.3258046106584057,COMPLETE,19,0.027358301839428757,0.7995401918632943,0.9036997733425313,0.09412004881586436,3.8628861693016083,1
193,0.3258046106584057,COMPLETE,18,0.024500000598327583,0.734747466909389,0.874755573620451,0.10356243548601367,4.6680195195828915,1
194,0.3258046106584057,COMPLETE,21,0.02874694833035575,0.7465003977976793,0.8146665331372747,0.055953182705567525,4.172054572078183,1
195,0.3258046106584057,COMPLETE,19,0.0021062342699649673,0.9489408517167147,0.9376306827984052,0.04544325056960238,4.431889948599061,4
196,0.3258046106584057,COMPLETE,7,0.025892677508839522,0.885657875207693,0.6588689050214559,0.07909370572990077,0.9013802010256142,2
197,0.3258046106584057,COMPLETE,8,0.014616280520562549,0.7698518569783741,0.8446242213510429,0.033330476320892796,1.2885013989842808,1
198,0.3258046106584057,COMPLETE,22,0.003760223502679651,0.7617337645380486,0.6093144653326518,0.1317181028336493,0.6569538776721575,3
199,0.3258046106584057,COMPLETE,27,0.0043176637593429455,0.7792393857536601,0.7776809137396444,0.006365625322281435,0.7053785273764454,7
