trial_number,value,batch_size,d_conv,d_model,d_state,dropout,expand,history_length,learning_rate,n_layers,weight_decay
41,0.33266039691191407,382,4,291,16,0.3300378527107146,2,98,0.0013070794261739464,5,0.00015856048648833288
42,0.3121891339160434,368,4,279,15,0.32162905203939374,2,102,0.0013300263494806434,5,0.00015538602596843788
43,0.3896561501572469,378,4,273,12,0.32588379862905,2,91,0.0018587007190928961,5,0.00017058070108887655
44,0.3578835356606901,363,4,235,15,0.37490766948932425,2,100,0.0013215230256424938,5,0.00013144276840353796
45,0.3902933659875407,370,5,353,10,0.3314493900295393,2,71,0.001552706539897264,3,0.0001675964050348667
46,0.400400000792451,337,4,291,48,0.4022116296606353,2,105,0.001887642965845254,4,0.0001044370501928016
47,0.3980542602746383,384,4,321,16,0.2556711912014275,2,89,0.0009977774903307261,6,0.00031478400781219184
48,0.3125537448043753,340,5,398,24,0.30164466627615677,2,119,0.0013623154383962288,3,0.00019006833348254743
49,0.38939018309740686,340,5,403,31,0.23823492723278816,2,122,0.0016602500000887064,3,0.00019459056958684423
50,0.35819316763344916,368,6,419,23,0.4230941531379336,3,54,0.0014926724290403525,2,0.00012530485075642832
51,0.36784111675137043,349,5,216,20,0.36449800149364525,2,110,0.0013507640262089688,4,0.00015480780745144153
52,0.35906944368807436,384,7,264,24,0.30278102074531843,2,82,0.0010994932056662729,5,0.00021371333925878283
53,0.40678158194225006,370,4,194,10,0.3398710244493089,2,99,0.0012696059906901465,6,0.00030736223514478287
54,0.38857892785905107,355,4,341,14,0.3167485490219538,2,116,0.0008547217895137927,3,0.00017938692220400358
55,0.3874133806526109,343,5,512,17,0.29445298140017523,2,126,0.0013655763666703363,5,0.0001380904211803322
56,0.40475662261526163,327,7,369,22,0.26333769430136905,3,140,0.00040482001814712347,6,0.00011927459439718488
57,0.36630724991437064,314,4,304,36,0.34855284098564426,3,106,0.0015057841622370652,4,0.0004442272089997803
58,0.31994033198338867,377,6,245,19,0.3854665400667508,2,134,0.0009398217390048432,5,0.00022947878562397796
59,0.3782937185471829,362,6,245,20,0.4144692715836369,3,131,0.0007160203083492367,6,0.0002267540494712652
60,0.4001904724532717,372,5,251,25,0.47006681568852643,2,151,0.0009392706613822771,4,0.009200013498088177
61,0.3256680972005692,376,4,293,18,0.37003025239704596,2,115,0.0012405051931678511,5,0.00018364578475299676
62,0.38578032565491244,355,7,226,17,0.3905732221898486,2,121,0.0011122318939399535,5,0.0002837292052131852
63,0.3672674021250765,375,8,280,19,0.371135783166828,2,112,0.0012256503498031806,7,0.00019961493699794877
64,0.32056896817194275,344,5,210,23,0.35101956121309713,2,139,0.0011693357885673896,4,0.00011425879130469388
65,0.3797831071085814,218,6,209,30,0.35296832318622756,2,144,0.0010113496188860218,3,0.00011327139558525785
66,0.41352784881989163,334,6,183,22,0.4456182128933387,2,137,0.0007889326716833614,4,0.0001353571394216353
67,0.3533372419545113,194,5,156,26,0.40060038780764184,2,129,0.0011658068450458368,2,0.0002316288834633235
68,0.3597357136391341,207,5,462,58,0.29226874209043263,2,146,0.000674546464363554,3,0.005653964534196785
69,0.3603573213726526,350,6,195,23,0.16765957068750564,2,154,0.0009636070731868224,4,0.0016618083635351287
70,0.3671728711031481,314,3,227,28,0.3813416701961048,2,94,0.001082060015934364,5,0.0005751599234969499
71,0.36463062558834547,364,4,263,14,0.32064068134435864,2,106,0.001405293457082621,5,0.00017797017839474738
72,0.3648876473169891,345,5,238,19,0.3551107635670043,2,122,0.0012601772106419576,6,0.000145868963447168
73,0.3498972976865944,377,5,307,18,0.10356522522204915,2,115,0.0016050109914884452,5,0.00011483703257290563
74,0.35458998216523063,360,4,281,12,0.3057809286581281,3,125,0.0011510569815614336,4,0.00010007347838744092
75,0.38151251540381964,334,4,172,21,0.3408751894964101,2,131,0.0009026446279248257,6,0.00032278627931322287
76,0.44186659861070887,180,8,206,9,0.2823236593403814,2,138,0.001761949835898656,10,0.00018366144440344864
77,0.3908160724318944,250,4,251,14,0.33232345577286543,2,185,0.0007577501943908707,5,0.00025340706455633926
78,0.35839591030432905,367,3,321,24,0.3163469002610731,3,84,0.0010378919409177222,3,0.00014971091715516803
79,0.30207072214805947,298,5,426,16,0.36313451933794916,4,111,0.001207390111048131,7,0.001244021998598769
80,0.3870973790088032,319,5,384,22,0.43243537138987487,4,165,0.0008303364015331637,7,0.0011148601024425667
81,0.39678295275410963,270,5,431,16,0.366128207610201,4,104,0.0012062395913248227,7,0.0008764516783210715
82,0.340366487437432,378,4,450,12,0.3855878292308165,4,110,0.0013936413258370643,6,0.0013354847538604056
