trial_number,value,state,parameters.mid_layer_count,parameters.mid_layer_size,parameters.dropout,parameters.batch_size,parameters.learning_rate,parameters.weight_decay
140,0.38843612003763883,COMPLETE,4,210,0.20161019758420917,96,0.0029608893616135464,0.0006190517732670534
141,0.38843612003763883,COMPLETE,3,277,0.23234297192867046,140,0.00015513198102759952,0.00023528349743572263
142,0.38843612003763883,COMPLETE,3,259,0.2509349124978739,135,0.0009324127807512833,0.0015299580991856695
143,0.38843612003763883,COMPLETE,3,199,0.31011176310090094,127,0.00020145872979918922,0.002736680157894521
144,0.38843612003763883,COMPLETE,3,398,0.3326840258784117,145,0.00010014094555498692,0.0007818609832358268
145,0.38843612003763883,COMPLETE,3,345,0.28366846840878296,120,0.0005499128026792366,0.001983294158171066
146,0.38843612003763883,COMPLETE,3,296,0.22015693126459732,154,0.00017811039313244604,1.3205807055706993e-05
147,0.38843612003763883,COMPLETE,5,496,0.16577026001727854,200,0.00026798169154367365,0.0011010993163124093
148,0.38843612003763883,COMPLETE,2,321,0.2657285206921791,186,0.00023625104947422746,9.61802798570661e-05
149,0.38843612003763883,COMPLETE,4,219,0.06434662377758522,112,0.0015476466969978342,2.8790477243302935e-05
150,0.38843612003763883,COMPLETE,2,481,0.056420973061998385,132,0.00012435333772279383,0.008457716189822218
151,0.38843612003763883,COMPLETE,2,445,0.14580607730073933,211,0.0004478512596272621,6.156581753592211e-05
152,0.38843612003763883,COMPLETE,2,454,0.1541841490463137,220,0.000677796427442345,0.002307883536947075
153,0.38843612003763883,COMPLETE,2,470,0.1593192150794383,203,0.00010995254629068124,0.00011128099661521544
154,0.38843612003763883,COMPLETE,2,430,0.18116706159845375,106,0.0004947768058795284,7.648575717095389e-05
155,0.38843612003763883,COMPLETE,2,440,0.19416748217769866,243,0.00040947666466197317,3.715711082355385e-05
156,0.38843612003763883,COMPLETE,3,190,0.17009321218749635,216,0.00035848082386055876,1.693477749176959e-05
157,0.38843612003763883,COMPLETE,5,174,0.13928890400684343,255,0.000545701094533882,0.0005223212166626878
158,0.38843612003763883,COMPLETE,2,458,0.07285557057402028,98,0.00021568695590866102,0.007588589151778598
159,0.38843612003763883,COMPLETE,4,494,0.05897054108298329,173,0.00014090510398190756,2.626957512906486e-05
160,0.38843612003763883,COMPLETE,3,232,0.24671560865591818,161,0.0002884906470949011,0.00017167746559831553
161,0.38843612003763883,COMPLETE,3,365,0.10020991681074615,196,0.0013397502445582274,0.0009759640052789071
162,0.38843612003763883,COMPLETE,3,332,0.11507081709246443,180,0.0019011372817498199,0.0015958947768590652
163,0.38843612003763883,COMPLETE,3,353,0.09199287627484502,207,0.0007488571322474909,0.0008542704641331236
164,0.38843612003763883,COMPLETE,3,406,0.11009040731636618,168,0.002458225946741563,0.0012583255583809992
165,0.38843612003763883,COMPLETE,3,339,0.12443534741959135,86,0.0016386068089482458,0.0007048015553843934
166,0.38843612003763883,COMPLETE,2,249,0.06813709784559333,190,0.00019420221498314805,3.261997121023035e-05
167,0.38843612003763883,COMPLETE,4,384,0.11901299054089187,240,0.0011634880685087935,0.0002839542742668709
168,0.38843612003763883,COMPLETE,3,351,0.08094575347112393,79,0.0008522005139190667,0.000449658187904002
169,0.38843612003763883,COMPLETE,5,369,0.1051412075157735,225,0.00011470605981706269,0.00012798450380097282
170,0.38843612003763883,COMPLETE,2,465,0.3851517630180574,247,0.00015429686276730354,4.874979702010882e-05
171,0.38843612003763883,COMPLETE,2,503,0.303979454254294,228,0.00018455366949404246,7.742106866999141e-05
172,0.38843612003763883,COMPLETE,2,489,0.1509402090026653,220,0.00016061564020657923,8.240255118682035e-05
173,0.38843612003763883,COMPLETE,2,476,0.2547041285797386,93,0.0001706309384898014,6.327409984373813e-05
174,0.38843612003763883,COMPLETE,2,512,0.26943467977183433,212,0.0006322062233176367,9.712679187246225e-05
175,0.38843612003763883,COMPLETE,2,505,0.07695920294493074,250,0.00014848132332261597,0.009616938700498488
176,0.38843612003763883,COMPLETE,3,314,0.34898908529475253,232,0.00012786986901953994,0.002981460583720727
177,0.38843612003763883,COMPLETE,4,214,0.24132145931603396,175,0.0005056369440764552,0.00037212070956483195
178,0.38843612003763883,COMPLETE,2,484,0.22997396295278927,141,0.002063998529494366,0.0010850165230181694
179,0.38843612003763883,COMPLETE,3,293,0.13131107089779218,149,0.00010829408780368693,0.004112315058055135
180,0.38843612003763883,COMPLETE,5,143,0.09466176733933748,237,0.0023096402590640185,1.4301048391825619e-05
181,0.38843612003763883,COMPLETE,3,499,0.18687964008219177,180,0.00010407776684009487,0.00011979444235865376
182,0.38843612003763883,COMPLETE,3,155,0.21015287271945263,193,0.00011845373482988378,0.00016183341869939602
183,0.38843612003763883,COMPLETE,3,270,0.1738785490190843,184,0.0002533525293714151,0.00019296467668125408
184,0.38843612003763883,COMPLETE,3,422,0.3707076690213465,101,0.0026168267360898913,0.0001454786901430028
185,0.38843612003763883,COMPLETE,3,203,0.20264693135909945,187,0.00010670558024072785,0.0003129891550935018
186,0.38843612003763883,COMPLETE,2,169,0.19175886111348697,201,0.00013364113680790302,2.1587785220096947e-05
187,0.38843612003763883,COMPLETE,4,288,0.1628564085440395,197,0.0010242702362611945,0.00024049739197253944
188,0.38843612003763883,COMPLETE,3,182,0.2156880429639258,217,0.00016786978687497096,0.0001035877171745194
189,0.38843612003763883,COMPLETE,2,436,0.18002573582266423,137,0.0003169416706465244,1.1141295299226743e-05
190,0.38843612003763883,COMPLETE,3,450,0.08490926191290295,123,0.0001950035641862345,0.0013844200382059795
191,0.38843612003763883,COMPLETE,4,402,0.1436711318257087,109,0.00011420608412230696,4.546670209930205e-05
192,0.38843612003763883,COMPLETE,4,419,0.16917429356112265,204,0.00033923286642858575,3.059519599929899e-05
193,0.38843612003763883,COMPLETE,4,388,0.15730633168051228,117,0.00042079800869553133,0.006896026128662692
194,0.38843612003763883,COMPLETE,4,414,0.15102361728771105,124,0.00047325626406263615,2.228514225492622e-05
195,0.38843612003763883,COMPLETE,4,394,0.13600472057133528,128,0.00038871062960802024,3.627869610609434e-05
196,0.38843612003763883,COMPLETE,2,196,0.05257713892522635,209,0.00026968871204754416,5.603515841427323e-05
197,0.38843612003763883,COMPLETE,4,268,0.22340616468657243,133,0.00021309835507640282,2.6840214815805756e-05
