trial_number,value,state,parameters.history_length,parameters.num_layers,parameters.units,parameters.dropout,parameters.batch_size,parameters.learning_rate,parameters.weight_decay
77,0.333257518512638,COMPLETE,151,4,253,0.3953152508654699,203,0.0003331263546833309,0.004191761292356517
78,0.333257518512638,COMPLETE,135,9,290,0.40325855629507024,307,0.0016144069177671909,0.005779275513987988
79,0.333257518512638,COMPLETE,43,10,217,0.26387118352323785,380,0.0012105910373092338,0.00038188102286048584
80,0.333257518512638,COMPLETE,53,3,172,0.28260176935951437,94,0.0010176997051323828,0.000863063472579218
81,0.333257518512638,COMPLETE,34,2,81,0.296940873807948,201,0.0004282204554024554,0.008627281708362416
82,0.333257518512638,COMPLETE,92,4,102,0.3524712606288888,220,0.00036236081554383325,0.00017723984209400018
83,0.333257518512638,COMPLETE,38,5,94,0.24333546052636332,187,0.00029733112060714603,0.006186954913426708
84,0.333257518512638,COMPLETE,160,3,113,0.23069528227379424,363,0.000397804694278199,0.0027089432895541243
85,0.333257518512638,COMPLETE,46,8,267,0.3402048724360588,72,0.00032849581261011536,0.00762111995351278
86,0.333257518512638,COMPLETE,41,2,74,0.3130744648212471,184,0.000491944501929346,0.0018442491032478422
87,0.333257518512638,COMPLETE,57,3,311,0.2521639592348706,230,0.0005635220156840417,0.0034486017893348864
88,0.333257518512638,COMPLETE,120,4,196,0.2136026220123473,124,0.0006326941580855408,0.0014886941841331328
89,0.333257518512638,COMPLETE,66,5,281,0.3725690927678846,275,0.00021213780052746638,0.0012752693166524166
90,0.333257518512638,COMPLETE,111,2,228,0.3312511290338297,142,0.0004546789678540244,0.009627355286676721
91,0.333257518512638,COMPLETE,88,4,243,0.23465416901176814,322,0.0002663571405807096,0.006837869152401956
92,0.333257518512638,COMPLETE,70,4,299,0.4101030542786258,64,0.0002477920140258136,0.009996283737683735
93,0.333257518512638,COMPLETE,51,4,158,0.4264731919637342,334,0.0002768226600974654,0.0010255118809298328
94,0.333257518512638,COMPLETE,84,6,333,0.28339979197600434,172,0.00037521332022904185,0.008204611127091468
95,0.333257518512638,COMPLETE,106,10,238,0.3185972084400319,260,0.00023584664125666973,0.005698737850383502
96,0.333257518512638,COMPLETE,74,3,256,0.2438613319009761,297,0.000311618760943095,0.004614563533376169
97,0.333257518512638,COMPLETE,80,8,209,0.20017050980276796,214,0.00020166865614317254,0.0002930569268384636
98,0.333257518512638,COMPLETE,144,3,270,0.26340531881115753,188,0.001348463738850334,0.006191567210052274
99,0.333257518512638,COMPLETE,36,5,181,0.38312049936697434,306,0.000288735995515061,0.007729888609960744
100,0.333257518512638,COMPLETE,44,10,145,0.22368957830575853,290,0.0005241026118835906,0.0002144385705081844
101,0.333257518512638,COMPLETE,97,7,379,0.3001167935176712,74,0.0015091686782110723,0.00014535822827707834
102,0.333257518512638,COMPLETE,96,8,344,0.47642688448697856,96,0.0018638861615770102,0.00012522538105256295
103,0.333257518512638,COMPLETE,99,7,368,0.4752155596958022,108,0.00025419422874300643,0.0005518931896858211
104,0.333257518512638,COMPLETE,48,6,249,0.48300781851315844,203,0.0004950996063091024,0.0001874623105363931
105,0.333257518512638,COMPLETE,126,8,278,0.4593529096424144,252,0.0007072001788908685,0.00010905950709164827
106,0.333257518512638,COMPLETE,114,9,325,0.49132486159784294,169,0.0011346861843394365,0.00016097499018856497
107,0.333257518512638,COMPLETE,90,7,91,0.2119896881285501,88,0.0003492348157679986,0.0012049482437941489
108,0.333257518512638,COMPLETE,62,2,293,0.34650915400904697,351,0.0006761279229088319,0.00045191640687342256
109,0.333257518512638,COMPLETE,102,10,260,0.36537140800402484,371,0.0007658555902170015,0.0001016127841266331
110,0.333257518512638,COMPLETE,87,4,64,0.2747832054597797,80,0.0003719098128798873,0.009011248038116024
111,0.333257518512638,COMPLETE,156,6,191,0.20653759200551025,238,0.0017692025122394751,0.00012283566799448816
112,0.333257518512638,COMPLETE,149,7,298,0.22941915414446826,317,0.001251316275023388,0.00014531596029245745
113,0.333257518512638,COMPLETE,132,9,310,0.28968262884215884,332,0.0016642804008516413,0.0010692653632246273
114,0.333257518512638,COMPLETE,157,6,170,0.21982517027858717,287,0.0014303017769409087,0.00011328339019499051
115,0.333257518512638,COMPLETE,142,8,110,0.2513460493445234,129,0.0008652734640464711,0.00013227719163270632
116,0.333257518512638,COMPLETE,153,10,233,0.35841211051712557,157,0.0003167544624123518,0.0009005372283421135
117,0.333257518512638,COMPLETE,77,4,137,0.3758875677508934,361,0.0015710858011395636,0.0001724498140566395
118,0.333257518512638,COMPLETE,137,7,128,0.3878344026014484,193,0.00041397544700870633,0.0007695153128739063
119,0.333257518512638,COMPLETE,58,5,78,0.4504116357152365,208,0.001071872961722094,0.0023758617101684813
120,0.333257518512638,COMPLETE,54,3,287,0.41949503876485544,345,0.0006044978424167564,0.0014292389892474806
121,0.333257518512638,COMPLETE,127,8,351,0.3986466041808294,116,0.00026675294515109485,0.00026403331872973997
122,0.333257518512638,COMPLETE,140,7,341,0.4397999175496276,181,0.001361560914108302,0.0003778799143593952
123,0.333257518512638,COMPLETE,134,9,367,0.432015893992904,69,0.0011704271082314955,0.0017046599928016192
124,0.333257518512638,COMPLETE,39,8,357,0.40920950877335704,104,0.0009230397917747075,0.00010016296754643403
125,0.333257518512638,COMPLETE,147,10,319,0.40303810903250537,377,0.0009715385725594253,0.00033900058297333264
126,0.333257518512638,COMPLETE,94,2,372,0.3930529489059628,147,0.0007881283508164454,0.00015474633434879215
127,0.333257518512638,COMPLETE,33,4,382,0.20690143706207814,384,0.0008224622723796454,0.007002747780851184
128,0.333257518512638,COMPLETE,106,7,159,0.21615903338027748,91,0.00022078434590026394,0.000685478635258364
129,0.333257518512638,COMPLETE,41,10,223,0.4686103134666649,223,0.001059802615526129,0.00023663532131299882
130,0.333257518512638,COMPLETE,51,3,358,0.48442569873775077,165,0.0002417760732612661,0.000489790628760366
131,0.333257518512638,COMPLETE,85,5,301,0.3234862018919017,271,0.0015236862230176582,0.00028195379965849983
132,0.333257518512638,COMPLETE,82,6,275,0.3391172904795717,264,0.0012798259158473147,0.0033815647113306165
133,0.333257518512638,COMPLETE,69,8,306,0.3168800016475113,280,0.0018226161168062819,0.000314389237897654
134,0.333257518512638,COMPLETE,144,4,285,0.3314705404923524,303,0.0016737710994891763,0.00021769537070084137
135,0.333257518512638,COMPLETE,120,9,150,0.3074730833909785,130,0.000453254687114229,0.0009862315859738371
136,0.333257518512638,COMPLETE,73,2,329,0.3678675008795036,216,0.0019642562978089617,0.00019596062882246536
137,0.333257518512638,COMPLETE,77,6,294,0.35092003388850534,197,0.0003383727472350186,0.008980982153931352
138,0.333257518512638,COMPLETE,129,10,376,0.4147314737034938,354,0.0002979813698010279,0.0002585259547944027
139,0.333257518512638,COMPLETE,138,3,249,0.38101453334862834,323,0.00028053445899643513,0.0012720629369836513
140,0.333257518512638,COMPLETE,45,7,263,0.28996223014598466,82,0.0005615899596519883,0.007967495267649278
141,0.333257518512638,COMPLETE,109,9,311,0.3878121984887472,125,0.0009288855958890874,0.00036468385198427017
142,0.333257518512638,COMPLETE,115,8,336,0.37613688845687565,155,0.0011878559534049733,0.00040097999672737743
143,0.333257518512638,COMPLETE,122,9,318,0.3631054340271169,109,0.0013105115111887995,0.00013245068922448496
144,0.333257518512638,COMPLETE,101,10,322,0.3577470757366475,99,0.0010828332326893472,0.00030904078640828903
145,0.333257518512638,COMPLETE,131,10,349,0.27642577248147054,134,0.0009699873020190675,0.00011940010580456447
146,0.333257518512638,COMPLETE,111,9,362,0.22914040149107845,249,0.0014316210421200474,0.00043360495120764296
147,0.333257518512638,COMPLETE,49,4,312,0.2658636031100968,139,0.0006704625442382878,0.0019532450927039645
148,0.333257518512638,COMPLETE,105,7,213,0.39684199588309443,259,0.001234868908969475,0.0002759414293135593
149,0.333257518512638,COMPLETE,64,8,72,0.23866163015065575,235,0.0008337144320613153,0.00024403062207633416
150,0.333257518512638,COMPLETE,117,10,297,0.20006631633644964,119,0.0002581566882007914,0.0037907385000420005
151,0.333257518512638,COMPLETE,160,6,280,0.4208854073151992,367,0.0005176624881835734,0.0005309836659435477
152,0.333257518512638,COMPLETE,153,5,290,0.40241254650461944,378,0.0004211136674555893,0.0003443835209867483
153,0.333257518512638,COMPLETE,156,6,244,0.45722095987555167,312,0.0006069094696794582,0.0006322767440160578
154,0.333257518512638,COMPLETE,80,7,175,0.2588569805600612,340,0.0007330834401073071,0.0011376358383012911
155,0.333257518512638,COMPLETE,126,4,86,0.4640730569991868,373,0.00136227727449467,0.007190683037862655
156,0.333257518512638,COMPLETE,150,6,267,0.4272077041260549,359,0.0003849726038556496,0.0007920513215783655
157,0.333257518512638,COMPLETE,158,10,307,0.48760290019685737,206,0.0015872084904863149,0.0015434587406415237
158,0.333257518512638,COMPLETE,56,2,335,0.47977796215511737,190,0.00043846814087600115,0.0027077776721907694
159,0.333257518512638,COMPLETE,38,5,124,0.4380386628566668,148,0.00047798987396108455,0.0008639487492033932
160,0.333257518512638,COMPLETE,61,8,256,0.4946905134330742,65,0.0017402643178043022,0.00020132562958676353
161,0.333257518512638,COMPLETE,79,7,201,0.2463812033504175,177,0.0002262866705221794,0.00017614360781943934
162,0.333257518512638,COMPLETE,91,7,235,0.20822947713762222,256,0.0002111418926900083,0.00013934977795906567
163,0.333257518512638,COMPLETE,77,7,163,0.3704879881356403,265,0.00020476362394466542,0.00010935235308724406
164,0.333257518512638,COMPLETE,99,3,230,0.2239611989704633,243,0.0002504765353590736,0.00022282723136820965
165,0.333257518512638,COMPLETE,83,6,187,0.2571494685577942,332,0.00032777899654079257,0.0001524036410438679
166,0.333257518512638,COMPLETE,72,4,304,0.3116085998515852,78,0.00023440742319132644,0.006418656206054363
167,0.333257518512638,COMPLETE,53,7,273,0.40692740110254505,367,0.00028901123875417825,0.009919648226368302
168,0.333257518512638,COMPLETE,36,6,384,0.2483020784586228,213,0.00021838572409616823,0.005442579625682669
169,0.333257518512638,COMPLETE,88,8,200,0.41425203826947565,227,0.0002709117728304491,0.00012448253324986327
170,0.333257518512638,COMPLETE,47,9,99,0.23565798838094484,383,0.0003045182226887011,0.00029295901291614827
171,0.333257518512638,COMPLETE,134,9,281,0.3231793131891936,125,0.0014826170427500094,0.0005766075200850932
172,0.333257518512638,COMPLETE,139,10,291,0.29081976286513334,113,0.0011253763088232525,0.008322039209739899
173,0.333257518512638,COMPLETE,136,9,217,0.2979599610218537,291,0.0013019743687796503,0.00048725768847868617
174,0.333257518512638,COMPLETE,146,10,269,0.30455408851903737,198,0.00034872094494955736,0.0006816857235035378
175,0.333257518512638,COMPLETE,67,2,287,0.3451228851061997,279,0.0011819319613911607,0.0009887905482686343
176,0.333257518512638,COMPLETE,113,8,260,0.282811126068011,136,0.0010427257659586973,0.000258003935302002
177,0.333257518512638,COMPLETE,143,3,250,0.2718231858784109,124,0.00039488377654614234,0.0013245524064783487
178,0.333257518512638,COMPLETE,43,10,296,0.24185435574033626,162,0.0005517974546613978,0.0001691937726392307
179,0.333257518512638,COMPLETE,128,4,278,0.39505970851503597,145,0.0011008737008573607,0.0010858617583417334
180,0.333257518512638,COMPLETE,123,7,242,0.3341410870637417,71,0.0005860770538083268,0.0003257581432917845
181,0.333257518512638,COMPLETE,86,5,347,0.20439070969254372,273,0.000689612391823746,0.00013227249025429794
182,0.333257518512638,COMPLETE,75,5,328,0.2115248596070751,319,0.000724271208696394,0.00016175404403751112
183,0.333257518512638,COMPLETE,92,4,156,0.21686248809850064,300,0.0006566831473658526,0.00010911099851095985
184,0.333257518512638,COMPLETE,107,5,303,0.47163112785321903,295,0.0007681817482215787,0.00018732730661577052
185,0.333257518512638,COMPLETE,153,4,372,0.45167111678363675,243,0.0006227485456354149,0.00014418151137304575
186,0.333257518512638,COMPLETE,118,6,341,0.38725144310204684,286,0.0007015699023692579,0.0011936742958339218
187,0.333257518512638,COMPLETE,82,8,314,0.22937644924751208,88,0.0013954104161149148,0.00024080966431395002
188,0.333257518512638,COMPLETE,58,3,362,0.22071033768160483,349,0.0008649570260513547,0.0004157216934276161
189,0.333257518512638,COMPLETE,155,7,142,0.3153076168742643,329,0.0007592162991473226,0.009057128922536616
190,0.333257518512638,COMPLETE,103,8,166,0.30382090628227504,307,0.0006437541031602677,0.0002132746137967067
191,0.333257518512638,COMPLETE,65,9,211,0.4343303467203637,106,0.0019603896236676634,0.00048639551540694773
192,0.333257518512638,COMPLETE,79,9,178,0.44053269168159426,114,0.0015451544677206443,0.00044238736402375854
193,0.333257518512638,COMPLETE,68,9,191,0.4214149976880277,130,0.0018672078078331568,0.00036363068074342494
194,0.333257518512638,COMPLETE,52,10,223,0.3796205191777206,100,0.001668821828831274,0.0003125421938486629
195,0.333257518512638,COMPLETE,77,4,298,0.4621793820409341,310,0.0017727559794396249,0.0005855049940222326
196,0.333257518512638,COMPLETE,73,9,92,0.2549668565815504,85,0.00036055208041024556,0.0007124385015445949
197,0.333257518512638,COMPLETE,94,10,220,0.400829098341341,267,0.0005154005595937126,0.004589135476724734
198,0.333257518512638,COMPLETE,49,8,267,0.20904702619261717,253,0.00026278155106886254,0.0017427625075205689
199,0.333257518512638,COMPLETE,132,7,285,0.35233377273021743,122,0.0002821514109505775,0.00011948626786800564
